Time,Date,Activity,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Charges,Cost/Proceeds,Conversion rate,Order type,Venue ID,Settled?,Settlement date,Order ID
1:24:06,17/09/2020,TRADE,Webjet Ltd,BUY,572,4.07,AUD,-2328.04,-4.54,-0.45,-2333.03,1,LIMIT,XOFF,N,21/09/2020,M8D48:1076494~1271
1:16:24,16/09/2020,TRADE,NEXTDC Ltd,SELL,-202,11.58,AUD,2339.16,-4.54,-0.45,-2334.17,1,LIMIT,XOFF,Y,18/09/2020,M8D48:1076493~1147
1:31:38,8/09/2020,TRADE,Mesoblast Limited,BUY,497,4.77,AUD,-2370.69,-4.54,-0.45,-2375.68,1,LIMIT,XOFF,Y,10/09/2020,M8D48:1068445~1544
1:30:52,8/09/2020,TRADE,Webjet Ltd,SELL,-600,3.95,AUD,2370,-4.54,-0.45,-2365.01,1,LIMIT,XOFF,Y,10/09/2020,M8D48:1068449~1600
1:07:35,4/09/2020,TRADE,NEXTDC Ltd,BUY,202,11.33,AUD,-2288.66,-4.54,-0.45,-2293.65,1,LIMIT,XOFF,Y,8/09/2020,M8D48:1057959~1496
2:45,3/09/2020,TRADE,Westpac Banking Corp,SELL,-131,17.62,AUD,2308.22,-4.54,-0.45,-2303.23,1,LIMIT,XOFF,Y,7/09/2020,M8D48:1056065~2298
2:22:36,1/09/2020,TRADE,Westpac Banking Corp,BUY,131,17,AUD,-2227,-4.54,-0.45,-2231.99,1,LIMIT,XOFF,Y,3/09/2020,M8D48:1056063~1842
1:08:29,31/08/2020,TRADE,NEXTDC Ltd,SELL,-184,12.17,AUD,2239.28,-7.27,-0.73,-2231.28,1,LIMIT,XOFF,Y,2/09/2020,M8D48:1053933~817
2:18:12,28/08/2020,TRADE,NEXTDC Ltd,BUY,184,11.85,AUD,-2180.4,-7.27,-0.73,-2188.4,1,LIMIT,XOFF,Y,1/09/2020,M8D48:1051214~2897
1:44:39,27/08/2020,TRADE,NEXTDC Ltd,SELL,-180,12.22,AUD,2199.6,-7.27,-0.73,-2191.6,1,LIMIT,XOFF,Y,31/08/2020,M8D48:1051210~2898
3:31:44,25/08/2020,TRADE,NEXTDC Ltd,BUY,180,11.72,AUD,-2109.6,-7.27,-0.73,-2117.6,1,LIMIT,XOFF,Y,27/08/2020,M8D48:1048378~4394
1:55:02,25/08/2020,TRADE,Westpac Banking Corp,SELL,-120,17.725,AUD,2127,-7.27,-0.73,-2119,1,LIMIT,XOFF,Y,27/08/2020,M8D48:1048386~2752
2:36:51,18/08/2020,TRADE,Westpac Banking Corp,BUY,120,16.92,AUD,-2030.4,-7.27,-0.73,-2038.4,1,LIMIT,XOFF,Y,20/08/2020,M8D48:1042924~5331
1:34:18,18/08/2020,TRADE,NEXTDC Ltd,SELL,-170,11.99,AUD,2038.3,-7.27,-0.73,-2030.3,1,LIMIT,XOFF,Y,20/08/2020,M8D48:1042918~3025
2:29:53,17/08/2020,TRADE,NEXTDC Ltd,BUY,170,11.65,AUD,-1980.5,-7.27,-0.73,-1988.5,1,LIMIT,XOFF,Y,19/08/2020,M8D48:1042920~2214
6:37:02,14/08/2020,TRADE,Pilbara Minerals Limited,BUY,2033,0.3575,AUD,-726.8,-7.27,-0.73,-734.8,1,LIMIT,XOFF,Y,18/08/2020,M8D48:1041543~5701
6:28:10,14/08/2020,TRADE,Imugene Limited,BUY,8785,0.056,AUD,-491.96,-7.27,-0.73,-499.96,1,LIMIT,XOFF,Y,18/08/2020,M8D48:1041543~5585
1:18:24,14/08/2020,TRADE,Mesoblast Limited,SELL,-697,4.65,AUD,3241.05,-7.27,-0.73,-3233.05,1,LIMIT,XOFF,Y,18/08/2020,M8D48:1041543~1114
1:22:54,12/08/2020,TRADE,Mesoblast Limited,BUY,286,3.22,AUD,-920.92,-7.27,-0.73,-928.92,1,LIMIT,XOFF,Y,14/08/2020,M8D48:1039509~2266
3:59:10,11/08/2020,TRADE,Mesoblast Limited,BUY,411,3.62,AUD,-1487.82,-7.27,-0.73,-1495.82,1,LIMIT,XOFF,Y,13/08/2020,M8D48:1039511~8077
3:44:52,11/08/2020,TRADE,Westpac Banking Corp,SELL,-136,17.86,AUD,2428.96,-7.27,-0.73,-2420.96,1,LIMIT,XOFF,Y,13/08/2020,M8D48:1039508~7836
3:31:30,6/08/2020,TRADE,Webjet Ltd,BUY,162,3.02,AUD,-489.24,-7.27,-0.73,-497.24,1,LIMIT,XOFF,Y,10/08/2020,M8D48:1036690~6500
1:45:20,4/08/2020,TRADE,Westpac Banking Corp,BUY,136,17,AUD,-2312,-7.27,-0.73,-2320,1,LIMIT,XOFF,Y,6/08/2020,M8D48:1033848~2991
3:55:12,3/08/2020,TRADE,Mesoblast Limited,SELL,-591,3.94,AUD,2328.54,-7.27,-0.73,-2320.54,1,LIMIT,XOFF,Y,5/08/2020,M8D48:1033847~6968
1:45:20,8/07/2020,TRADE,Mesoblast Limited,BUY,328,3.6,AUD,-1180.8,-4.54,-0.45,-1185.79,1,LIMIT,XOFF,Y,10/07/2020,M8D48:1017333~3143
1:43:31,8/07/2020,TRADE,Westpac Banking Corp,SELL,-60,17.92,AUD,1075.2,-4.54,-0.45,-1070.21,1,LIMIT,XOFF,Y,10/07/2020,M8D48:1017336~2806
1:06:13,23/06/2020,TRADE,Mesoblast Limited,BUY,263,3.77,AUD,-991.51,-7.27,-0.73,-999.51,1,LIMIT,XOFF,Y,25/06/2020,M8D48:1006996~1559
2:05:26,19/06/2020,TRADE,Mesoblast Limited,SELL,-265,4.21,AUD,1115.65,-7.27,-0.73,-1107.65,1,LIMIT,XOFF,Y,23/06/2020,M8D48:1001902~4691
1:22:33,16/06/2020,TRADE,Mesoblast Limited,BUY,266,3.81,AUD,-1013.46,-7.27,-0.73,-1021.46,1,LIMIT,XOFF,Y,18/06/2020,M8D48:1001013~2619
1:21:41,16/06/2020,TRADE,NEXTDC Ltd,SELL,-110,9.47,AUD,1041.7,-7.27,-0.73,-1033.7,1,LIMIT,XOFF,Y,18/06/2020,M8D48:1001007~2581
1:58:41,10/06/2020,TRADE,NEXTDC Ltd,BUY,110,8.91,AUD,-980.1,-7.27,-0.73,-988.1,1,LIMIT,XOFF,Y,12/06/2020,M8D48:995068~4061
6:48:39,5/06/2020,TRADE,Flight Centre Travel Group Ltd,SELL,-64,15.43,AUD,987.52,-7.27,-0.73,-979.52,1,LIMIT,XOFF,Y,10/06/2020,M8D48:993475~12485
1:20,5/06/2020,TRADE,Flight Centre Travel Group Ltd,BUY,65,15.15,AUD,-984.75,-7.27,-0.73,-992.75,1,LIMIT,XOFF,Y,10/06/2020,M8D48:993469~1908
2:38:04,27/05/2020,TRADE,Challenger Ltd,BUY,192,5.16,AUD,-990.72,-7.27,-0.73,-998.72,1,LIMIT,XOFF,Y,29/05/2020,M8D48:986901~5845
2:58:14,6/05/2020,TRADE,Webjet Ltd,BUY,367,2.7,AUD,-990.9,-7.27,-0.73,-998.9,1,LIMIT,XOFF,Y,8/05/2020,M8D48:969653~6024
10:17:37,22/04/2020,CORPORATE ACTION,Webjet Ltd Rights Issue - Non Tradable,SELL,-72,0,AUD,0,,0,0,1,LIMIT,,Y,22/04/2020,Z8750-BL215714
1:14:25,15/04/2020,TRADE,Westpac Banking Corp,BUY,61,16.23,AUD,-990.03,-7.27,-0.73,-998.03,1,LIMIT,XOFF,Y,17/04/2020,M8D48:953115~1777
8:24:05,7/04/2020,CORPORATE ACTION,Webjet Ltd Rights Issue - Non Tradable,BUY,72,0,AUD,0,,0,0,1,LIMIT,,Y,7/04/2020,Z8750-BL212298
0:13:16,25/02/2020,TRADE,Webjet Ltd,BUY,71,11.56,AUD,-820.76,-7.27,-0.73,-828.76,1,LIMIT,XOFF,Y,27/02/2020,M8D48:921379~59677
23:54:25,9/01/2020,TRADE,Webjet Ltd,SELL,-39,13.32,AUD,519.48,-7.27,-0.73,-511.48,1,LIMIT,XOFF,Y,13/01/2020,M8D48:892672~40916
4:04:34,2/01/2020,TRADE,Pilbara Minerals Limited,BUY,4296,0.3075,AUD,-1321.02,-7.27,-0.73,-1329.02,1,LIMIT,XOFF,Y,6/01/2020,M8D48:891125~3858
1:12:09,11/12/2019,TRADE,NEXTDC Ltd,SELL,-200,6.75,AUD,1350,-7.27,-0.73,-1342,1,LIMIT,XOFF,Y,13/12/2019,M8D48:881654~521
23:11:54,22/11/2019,TRADE,Webjet Ltd,BUY,40,12.26,AUD,-490.4,-7.27,-0.73,-498.4,1,LIMIT,XOFF,Y,26/11/2019,M8D48:867265~17941
23:58:55,20/11/2019,TRADE,Webjet Ltd,SELL,-38,13.25,AUD,503.5,-7.27,-0.73,-495.5,1,LIMIT,XOFF,Y,22/11/2019,M8D48:866456~20630
23:52:14,19/11/2019,CORPORATE ACTION,Altura Mining Limited Rights Issue - Non Tradable,SELL,-1680,0,AUD,0,,0,0,1,LIMIT,,Y,19/11/2019,Z8750-BL184517
6:13:36,1/11/2019,CORPORATE ACTION,Altura Mining Limited Rights Issue - Non Tradable,BUY,1680,0,AUD,0,,0,0,1,LIMIT,,Y,1/11/2019,Z8750-BL181273
1:59:59,8/10/2019,TRADE,Webjet Ltd,BUY,38,10.2,AUD,-387.6,-7.27,-0.73,-395.6,1,LIMIT,XOFF,Y,10/10/2019,M8D48:840126~1176
3:38:34,24/09/2019,TRADE,Altura Mining Limited,BUY,6648,0.074,AUD,-491.95,-7.27,-0.73,-499.95,1,LIMIT,XOFF,Y,26/09/2019,M8D48:834240~2366
3:33:51,24/09/2019,TRADE,Westpac Banking Corp,SELL,-30,29.98,AUD,899.4,-7.27,-0.73,-891.4,1,LIMIT,XOFF,Y,26/09/2019,M8D48:834243~2486
1:16:58,5/09/2019,TRADE,Pilbara Minerals Limited,BUY,1312,0.369935,AUD,-485.35,-7.27,-0.73,-493.35,1,LIMIT,XOFF,Y,9/09/2019,M8D48:824920~781
2:56:41,27/06/2019,TRADE,NEXTDC Ltd,BUY,200,6.4,AUD,-1280,-7.27,-0.73,-1288,1,LIMIT,XOFF,Y,1/07/2019,M8D48:788405~773
2:42:54,27/06/2019,TRADE,Pilbara Minerals Limited,BUY,1440,0.55,AUD,-792,-7.27,-0.73,-800,1,LIMIT,XOFF,Y,1/07/2019,M8D48:788405~691
3:51:27,18/06/2019,TRADE,Pilbara Minerals Limited,BUY,2486,0.6,AUD,-1491.6,-7.27,-0.73,-1499.6,1,LIMIT,XOFF,Y,20/06/2019,M8D48:783129~1619
2:46:26,26/04/2019,TRADE,NEXTDC Ltd,SELL,-322,6.415,AUD,2065.63,-7.27,-0.73,-2057.63,1,LIMIT,XOFF,Y,30/04/2019,M8D48:760393~1506
0:27:55,2/04/2019,TRADE,NEXTDC Ltd,BUY,322,6.18,AUD,-1989.96,-7.27,-0.73,-1997.96,1,LIMIT,XOFF,Y,4/04/2019,M8D48:748491~187
4:26:26,1/04/2019,TRADE,Altura Mining Limited,BUY,3274,0.135,AUD,-441.99,-7.27,-0.73,-449.99,1,LIMIT,XOFF,Y,3/04/2019,M8D48:748490~2609
23:27:46,26/03/2019,TRADE,Pilbara Minerals Limited,BUY,694,0.68,AUD,-471.92,-7.27,-0.73,-479.92,1,LIMIT,XOFF,Y,28/03/2019,M8D48:742695~12832
1:15:15,14/02/2019,TRADE,NEXTDC Ltd,SELL,-499,6.965,AUD,3475.54,-7.27,-0.73,-3467.54,1,LIMIT,XOFF,Y,18/02/2019,M8D48:718283~919
1:03:41,31/01/2019,TRADE,Pilbara Minerals Limited,BUY,745,0.66,AUD,-491.7,-7.27,-0.73,-499.7,1,LIMIT,XOFF,Y,4/02/2019,M8D48:712128~939
0:20:15,20/12/2018,TRADE,Pilbara Minerals Limited,BUY,802,0.6725,AUD,-539.35,-7.27,-0.73,-547.35,1,LIMIT,XOFF,Y,24/12/2018,M8D48:694975~85
4:52:24,13/11/2018,TRADE,Westpac Banking Corp,BUY,30,26.24,AUD,-787.2,-7.27,-0.73,-795.2,1,LIMIT,XOFF,Y,15/11/2018,M8D48:678796~2219
23:26:49,9/11/2018,TRADE,NEXTDC Ltd,BUY,500,6.25,AUD,-3125,-7.27,-0.73,-3133,1,MARKET,XOFF,Y,13/11/2018,M8D48:676887~12278
23:26:23,9/11/2018,TRADE,Pilbara Minerals Limited,BUY,1000,0.85,AUD,-850,-7.27,-0.73,-858,1,MARKET,XOFF,Y,13/11/2018,M8D48:676881~11876
23:25:55,9/11/2018,TRADE,Altura Mining Limited,BUY,1000,0.24,AUD,-240,-7.27,-0.73,-248,1,MARKET,XOFF,Y,13/11/2018,M8D48:676887~12273
5:00:23,4/04/2018,TRADE,Pilbara Minerals Limited,BUY,466,0.833755,AUD,-388.53,-7.27,-0.73,-396.53,1,LIMIT,XOFF,Y,6/04/2018,M8D48:579255~761
